CarModel,Brand,MakeYear,Kms Covered,Cylinder,Price
Mazda 3 1.6 Sedan Automatico 2011,Mazda,2011,96000,1600,29900000
Chevrolet Astra 2.0 5 Puertas Mecanico 2005,Chevrolet,2005,216368,2000,13800000
Nissan X-Trail Exclusive 2018,Nissan,2018,62150,2500,96900000
KIA Cerato Pro 2nd Generacion 1.6 Aut 2017,KIA,2017,42774,1600,55900000
Mazda 2 1.5 Sport Prime 2019,Mazda,2019,42506,1500,51500000
Volkswagen Jetta 2.0 Trendline Automatico Full Equipo 2012,Volkswagen,2012,94145,2000,34900000
Mazda 6 2.0 Automatico 2004,Mazda,2004,125000,2000,16500000
Volkswagen Saveiro 1.6 4x2 Cabina Sencilla Mecanica 2019,Volkswagen,2019,15800,1600,45500000
Mazda 2 1.5 Sedan 2019,Mazda,2019,35900,1500,52900000
BMW Serie 1 M135i 2014,BMW,2014,48500,2979,84000000
JAC B-Cross 1.5 4 Puertas Vvt 2015,JAC,2015,36000,1500,35000000
Mercedes Benz Clase A 200 Aut 2017,Mercedes Benz,2017,20900,1596,85000000
Chevrolet Corsa 1.3 4 Puertas Aire Acondicionado 1997,Chevrolet,1997,217000,1300,9500000
AUDI Q3  2017,AUDI,2017,33000,1400,115000000
Chevrolet Silverado 5.7 Z71 1994,Chevrolet,1994,310000,5700,17500000
FORD Ranger 2.2 Xl 4x4 Chasis Diesel 2022,FORD,2022,0,2200,112990000
KIA Sportage 2.0 4x2 2016,KIA,2016,66900,0,68000000
Volkswagen Jetta 2.0 Trendline 2008,Volkswagen,2008,103744,2000,21000000
FORD EDGE Sel 4x2 2017,FORD,2017,47105,0,84000000
Renault Duster Dynamique 4x4 Dakar 2019,Renault,2019,63658,2000,59900000
Renault Captur ZEN 2021,Renault,2021,9221,2000,76800000
Chevrolet SAIL Ls A.A 2019,Chevrolet,2019,66905,1400,31800000
Renault Logan  2018,Renault,2018,10953,1600,36500000
JEEP Gladiator  2020,JEEP,2020,13178,3600,300000000
Suzuki Swift 1.2 Gl Automatico 2019,Suzuki,2019,30000,1200,45990000
KIA Soluto Desire 2020,KIA,2020,6000,1400,49990000
Mercedes Benz Clase Gla 200 Aut 2019,Mercedes Benz,2019,35250,1600,110500000
KIA Sportage Fq 2.0 4x2 Automatica 2016,KIA,2016,71090,2000,48900000
FORD Ecosport Titanium 4x2 2015,FORD,2015,60560,2000,50500000
Renault Logan Life Plus Polar 2020,Renault,2020,17170,1600,40000000
Renault Sandero Life Plus 2020,Renault,2020,17100,1600,42500000
Chevrolet Spark 1.0 Ls Mecanico Aire Acondicionado 2019,Chevrolet,2019,32590,1000,25900000
Subaru Forester 2.5 Advance 2020,Subaru,2020,25680,2500,109900000
Volvo V40 T4 R-Design 2019,Volvo,2019,12360,2000,86900000
Nissan March Active 2015,Nissan,2015,114200,1600,25500000
Nissan March Sense Aut 2020,Nissan,2020,81660,1600,43900000
Renault CLIO Style Aa Da 2017,Renault,2017,64600,1200,28600000
Renault Stepway Dynamique 2017,Renault,2017,48400,1600,40900000
Chevrolet Spark 1.0 Ls Mecanico Aire Acondicionado 2019,Chevrolet,2019,19960,1000,26900000
Suzuki Vitara Live Glx Fs 1.6 4x4 Aut 2019,Suzuki,2019,25890,1600,77900000
FORD Ecosport Freestyle 2.0 4x4 Automatica 2020,FORD,2020,11300,2000,75900000
Renault Duster Dynamique 2.0 4x2 Automatica 2016,Renault,2016,38600,2000,49500000
Peugeot 3008 Gt-Line 1.6 4x2 Aut 2018,Peugeot,2018,50960,1600,102500000
Chevrolet Colorado Hc 4x4 2.8 Dsl Aut 2019,Chevrolet,2019,22210,2800,125900000
KIA Soluto Desire 2020,KIA,2020,17950,1400,48300000
